"TOA5","CR300Series_310","CR300","5804","CR300.Std.11.00","CPU:CR300_sapflow.CR300","32345","Public"
"TIMESTAMP","RECORD","BattV","PTemp_C","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0","SapFlwTot1","VhOuter1","VhInner1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1","id","SDI0","SDI1"
"TS","RN","Volts","Deg C","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-01-28 11:49:59.937",859,11.93965,8.127054,-0.017,-0.66,-0.03,-0.05693,-0.00495,-0.06279,-0.01855,108.254,97.806,0.008,0.48,-0.21,0.02576,-0.01231,0.03772,-0.02889,79.909,47.593,310,0,1
"2025-01-28 11:50:10.65",859,11.93965,8.127054,-0.017,-0.66,-0.03,-0.05693,-0.00495,-0.06279,-0.01855,108.254,97.806,0.008,0.48,-0.21,0.02576,-0.01231,0.03772,-0.02889,79.909,47.593,310,0,1
