"TOA5","CR300Series_422","CR300","27031","CR300-RF407.Std.10.04","CPU:sapflux_2sensor_CR300_30min.cr300","60975","SapFlowAll"
"TIMESTAMP","RECORD","Batt_volt","PTemp_C","S0_AlpOut","S0_AlpInn","S0_BetOut","S0_BetInn","S0_tMxTout","S0_tMxTinn","S0_TpDsOut","S0_dTDsOut","S0_TsDsOut","S0_TpUsOut","S0_dTUsOut","S0_TsUsOut","S0_TpDsInn","S0_dTDsInn","S0_TsDsInn","S0_TpUsInn","S0_dTUsInn","S0_TsUsInn","S0_tMxTUsO","S0_tMxTUsI","S1_AlpOut","S1_AlpInn","S1_BetOut","S1_BetInn","S1_tMxTout","S1_tMxTinn","S1_TpDsOut","S1_dTDsOut","S1_TsDsOut","S1_TpUsOut","S1_dTUsOut","S1_TsUsOut","S1_TpDsInn","S1_dTDsInn","S1_TsDsInn","S1_TpUsInn","S1_dTUsInn","S1_TsUsInn","S1_tMxTUsO","S1_tMxTUsI"
"TS","RN","","","ratio","ratio","ratio","ratio","sec","sec","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","sec","sec","ratio","ratio","ratio","ratio","sec","sec","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","sec","sec"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-07-18 11:00:00",2213,13.1,31.38,0.514,0.91531,0.54048,0.95185,109.827,92.215,31.426,0.776,32.048,30.97,0.452,31.342,30.399,0.544,30.916,30.238,0.21,30.445,109.952,59.478,0.95863,0.93761,0.91189,0.90047,65.226,72.889,30.058,0.453,30.504,29.718,0.182,29.889,28.852,0.502,29.35,28.713,0.204,28.908,56.229,56.293
"2025-07-18 11:30:00",2214,13.09,33,0.5341,1.03091,0.63394,0.97797,95.559,79.941,31.603,0.492,32.009,31.34,0.261,31.578,30.918,0.468,31.375,30.785,0.176,30.948,95.932,52.438,1.08299,1.00121,1.05299,0.94355,68.374,70.719,29.933,0.45,30.379,29.725,0.157,29.876,29.063,0.483,29.542,28.975,0.188,29.151,57.355,51.591
"2025-07-18 12:00:00",2215,13.09,33.62,0.71607,1.04332,0.76211,0.96675,83.709,78.044,31.411,0.42,31.808,31.335,0.196,31.529,31.023,0.447,31.463,30.917,0.17,31.072,67.398,49.035,1.24603,1.0723,1.14605,0.98229,64.521,68.637,31.208,0.453,31.653,30.896,0.144,31.024,30.059,0.454,30.509,29.871,0.17,30.025,52.234,50.27
"2025-07-18 12:30:00",2216,13.09,34.35,0.66981,1.01705,0.78517,0.96451,109.233,78.914,31.687,0.489,32.111,31.493,0.223,31.71,31.08,0.467,31.539,30.937,0.178,31.103,92.672,52.144,0.92994,0.96457,0.89265,0.93199,64.278,70.677,32.334,0.564,32.889,31.843,0.231,32.062,30.809,0.513,31.318,30.617,0.202,30.811,61.365,56.36
"2025-07-18 13:00:00",2217,13.1,34.82,0.56984,0.89437,0.62283,0.8409,89.543,78.403,31.467,0.343,31.787,31.297,0.184,31.478,31.05,0.415,31.456,30.921,0.179,31.087,63.528,52.635,1.17251,1.0695,1.15085,0.96363,71.404,68.933,31.336,0.452,31.785,31.198,0.143,31.337,30.72,0.443,31.16,30.649,0.169,30.8,60.385,50.317
"2025-07-18 13:30:00",2218,13.09,34.48,0.6508,0.90902,0.69587,0.85525,100.505,78.904,31.264,0.367,31.611,31.149,0.183,31.33,30.948,0.421,31.36,30.844,0.179,31.01,64.277,52.637,1.03431,1.06336,1.01904,0.96533,69.76,68.809,31.106,0.471,31.573,30.982,0.17,31.148,30.578,0.449,31.024,30.521,0.171,30.675,60.515,50.953
"2025-07-18 14:00:00",2219,13.09,34.5,0.63401,0.97928,0.69315,0.92309,106.042,79.217,31.347,0.422,31.741,31.184,0.211,31.393,30.931,0.443,31.365,30.814,0.176,30.977,67.826,53.199,1.0571,1.04614,1.03549,0.95891,68.447,69.018,31.318,0.476,31.79,31.129,0.169,31.293,30.579,0.467,31.043,30.494,0.179,30.657,59.961,52.171
"2025-07-18 14:30:00",2220,13.09,34.49,0.55766,0.91627,0.60738,0.88349,106.429,81.093,31.376,0.402,31.755,31.174,0.219,31.391,30.883,0.45,31.323,30.756,0.186,30.932,71.693,53.827,1.46463,1.03382,1.27505,0.95553,62.933,69.33,31.391,0.408,31.789,31.185,0.114,31.277,30.528,0.481,31.006,30.45,0.185,30.62,52.418,51.722
