"TOA5","CR300Series_422","CR300","27031","CR300-RF407.Std.10.04","CPU:sapflux_2sensor_CR300_30min.cr300","60975","SapFlowAll"
"TIMESTAMP","RECORD","Batt_volt","PTemp_C","S0_AlpOut","S0_AlpInn","S0_BetOut","S0_BetInn","S0_tMxTout","S0_tMxTinn","S0_TpDsOut","S0_dTDsOut","S0_TsDsOut","S0_TpUsOut","S0_dTUsOut","S0_TsUsOut","S0_TpDsInn","S0_dTDsInn","S0_TsDsInn","S0_TpUsInn","S0_dTUsInn","S0_TsUsInn","S0_tMxTUsO","S0_tMxTUsI","S1_AlpOut","S1_AlpInn","S1_BetOut","S1_BetInn","S1_tMxTout","S1_tMxTinn","S1_TpDsOut","S1_dTDsOut","S1_TsDsOut","S1_TpUsOut","S1_dTUsOut","S1_TsUsOut","S1_TpDsInn","S1_dTDsInn","S1_TsDsInn","S1_TpUsInn","S1_dTUsInn","S1_TsUsInn","S1_tMxTUsO","S1_tMxTUsI"
"TS","RN","","","ratio","ratio","ratio","ratio","sec","sec","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","sec","sec","ratio","ratio","ratio","ratio","sec","sec","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","sec","sec"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-07-29 20:00:00",2759,13.07,32.47,0.07618,0.11394,0.11636,0.12012,92.552,81.416,30.301,0.273,30.56,30.264,0.243,30.504,30.617,0.265,30.877,30.593,0.235,30.825,77.248,63.872,0.36268,0.35986,0.38958,0.35754,84.503,76.966,29.879,0.344,30.211,29.915,0.233,30.146,30.032,0.316,30.343,30.061,0.221,30.278,70.952,61.393
"2025-07-29 20:30:00",2760,13.06,31.45,0.05168,0.07594,0.07594,0.07901,82.092,79.168,29.798,0.246,30.036,29.787,0.228,30.013,30.261,0.25,30.507,30.247,0.231,30.475,74.751,62.122,0.27072,0.28652,0.30008,0.28658,87.033,77.725,29.488,0.324,29.8,29.534,0.24,29.772,29.736,0.301,30.033,29.773,0.226,29.996,72.976,63.922
"2025-07-29 21:00:00",2761,13.05,30.57,0.03088,0.06208,0.05649,0.06528,86.822,79.171,29.285,0.273,29.548,29.279,0.258,29.534,29.837,0.253,30.086,29.83,0.237,30.064,74.506,62.375,0.21744,0.23269,0.24998,0.23774,88.081,78.017,29.113,0.321,29.42,29.175,0.25,29.422,29.42,0.293,29.709,29.466,0.231,29.695,75.55,65.991
"2025-07-29 21:30:00",2762,13.04,29.79,-0.00861,0.04112,0.02098,0.0446,92.231,77.858,28.949,0.241,29.181,28.939,0.236,29.173,29.5,0.252,29.748,29.497,0.241,29.735,73.939,65.542,0.17818,0.20024,0.20919,0.2022,87.764,75.675,28.748,0.302,29.036,28.808,0.245,29.049,29.113,0.284,29.394,29.163,0.232,29.393,80.042,64.917
"2025-07-29 22:00:00",2763,13.03,29.4,-0.02085,0.0249,-0.01239,0.02861,85.386,75.744,28.595,0.242,28.833,28.605,0.245,28.848,29.187,0.248,29.431,29.193,0.241,29.431,70.333,63.677,0.15121,0.17229,0.17015,0.17029,85.672,75.358,28.489,0.294,28.774,28.552,0.248,28.797,28.861,0.281,29.139,28.914,0.237,29.148,72.131,66.371
"2025-07-29 22:30:00",2764,13.02,28.96,-0.01649,0.00828,0.0237,0.01224,89.484,77.354,28.338,0.256,28.579,28.335,0.25,28.58,28.91,0.246,29.152,28.914,0.243,29.154,81.398,63.545,0.1015,0.14028,0.1302,0.14282,89.079,75.22,28.235,0.303,28.525,28.287,0.266,28.549,28.613,0.278,28.888,28.66,0.241,28.899,77.054,68.005
"2025-07-29 23:00:00",2765,13.01,28.59,-0.00793,-0.00413,0.01534,0.00812,86.965,79.069,28.024,0.263,28.276,28.035,0.259,28.289,28.621,0.247,28.863,28.63,0.245,28.873,78.883,65.018,0.0788,0.12613,0.10191,0.1288,89.212,74.34,28,0.289,28.277,28.06,0.261,28.316,28.388,0.273,28.658,28.438,0.24,28.676,80.478,67.377
"2025-07-29 23:30:00",2766,13.01,28.25,-0.02951,-0.01663,-0.01237,-0.01231,83.368,79.203,27.769,0.241,28.003,27.782,0.244,28.023,28.373,0.243,28.612,28.382,0.246,28.625,75.035,66.391,0.0554,0.10618,0.08288,0.10905,87.143,75.559,27.789,0.289,28.067,27.854,0.266,28.117,28.172,0.271,28.44,28.223,0.243,28.464,73.851,69.103
