"TOA5","CR200Series_100","CR200X","No_SN","CR200X.Std.00","sapflux_2sensor_CR200X_30min.cr2","43664","Status"
"TIMESTAMP","RECORD","OSversion","OSDate","OSSignature","ProgName","ProgSig","CalOffset","PakBusAddress","RfInstalled","RfNetAddr","RfAddress","RfHopSeq","RfPwrMode","Rf_ForceOn","Rf_Protocol","RfSignalLevel","RfRxPakBusCnt","VarOutOfBounds","SkipScan","TrapCode","WatchDogCnt","ResetTables","BattVoltage"
"TS","RN","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"2025-08-27 17:58:28",0,"CR200X.Std.00","091211",16300,"sapflux_2sensor_CR200X_30min.cr2",43664,2.125,100,0,0,0,0,"NO_RF",0,1,0,0,0,0,0,0,0,12.37753
"2025-08-27 18:03:24",1,"CR200X.Std.00","091211",16300,"sapflux_2sensor_CR200X_30min.cr2",43664,2.125,100,0,0,0,0,"NO_RF",0,1,0,0,0,0,0,0,0,12.36913
